2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Content-Length: 30
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Host: 127.0.0.1:7055
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Connection: Keep-Alive
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.headers  - http-outgoing-4 >> Accept-Encoding: gzip,deflate
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/url HTTP/1.1[\r][\n]"
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Content-Length: 30[\r][\n]"
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Host: 127.0.0.1:7055[\r][\n]"
2018-09-27 20:55:26,162 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Connection: Keep-Alive[\r][\n]"
2018-09-27 20:55:26,163 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2018-09-27 20:55:26,163 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2018-09-27 20:55:26,163 [DEBUG] org.apache.http.wire  - http-outgoing-4 >> "[\r][\n]"
